t,P,Skin,h,N,W,L,a/L
0.0,300.0,5.0,10.0,13.0,3072.0,32.0,8.0
0.1,108.4908037981949,5.0,10.0,13.0,3072.0,32.0,8.0
0.2,108.0197704980389,5.0,10.0,13.0,3072.0,32.0,8.0
0.3,107.682791399277,5.0,10.0,13.0,3072.0,32.0,8.0
0.4,107.4182127300831,5.0,10.0,13.0,3072.0,32.0,8.0
0.5,107.1991076059254,5.0,10.0,13.0,3072.0,32.0,8.0
0.6,107.0114095410309,5.0,10.0,13.0,3072.0,32.0,8.0
0.7,106.8468733610692,5.0,10.0,13.0,3072.0,32.0,8.0
0.8,106.7001358477145,5.0,10.0,13.0,3072.0,32.0,8.0
0.9,106.5676110775101,5.0,10.0,13.0,3072.0,32.0,8.0
1.0097222222222222,106.4352937438179,5.0,10.0,13.0,3072.0,32.0,8.0
1.1330555555555557,106.3003893688026,5.0,10.0,13.0,3072.0,32.0,8.0
1.271388888888889,106.1631308391458,5.0,10.0,13.0,3072.0,32.0,8.0
1.426388888888889,106.0235092642643,5.0,10.0,13.0,3072.0,32.0,8.0
1.6005555555555555,105.8816716596505,5.0,10.0,13.0,3072.0,32.0,8.0
1.7958333333333334,105.7376274414244,5.0,10.0,13.0,3072.0,32.0,8.0
2.0147222222222223,105.5914859278997,5.0,10.0,13.0,3072.0,32.0,8.0
2.2608333333333333,105.4434954529632,5.0,10.0,13.0,3072.0,32.0,8.0
2.536666666666666,105.2943536134114,5.0,10.0,13.0,3072.0,32.0,8.0
2.846111111111111,105.1436639692151,5.0,10.0,13.0,3072.0,32.0,8.0
3.1933333333333334,104.9916673279673,5.0,10.0,13.0,3072.0,32.0,8.0
3.583055555555556,104.8384743537352,5.0,10.0,13.0,3072.0,32.0,8.0
4.020277777777777,104.6838846463694,5.0,10.0,13.0,3072.0,32.0,8.0
4.510555555555555,104.5280765998011,5.0,10.0,13.0,3072.0,32.0,8.0
5.061111111111111,104.3712149616952,5.0,10.0,13.0,3072.0,32.0,8.0
5.678611111111112,104.2132918787624,5.0,10.0,13.0,3072.0,32.0,8.0
6.371388888888889,104.0544671097743,5.0,10.0,13.0,3072.0,32.0,8.0
7.148888888888889,103.894704903236,5.0,10.0,13.0,3072.0,32.0,8.0
8.02138888888889,103.7340480038984,5.0,10.0,13.0,3072.0,32.0,8.0
9.0,103.5725778087173,5.0,10.0,13.0,3072.0,32.0,8.0
10.098055555555556,103.4102629183929,5.0,10.0,13.0,3072.0,32.0,8.0
11.330277777777775,103.2470429206946,5.0,10.0,13.0,3072.0,32.0,8.0
12.712777777777776,103.0828421122038,5.0,10.0,13.0,3072.0,32.0,8.0
14.264166666666666,102.9173890061658,5.0,10.0,13.0,3072.0,32.0,8.0
16.004444444444445,102.7504784635261,5.0,10.0,13.0,3072.0,32.0,8.0
17.95722222222222,102.5814920309657,5.0,10.0,13.0,3072.0,32.0,8.0
20.148611111111112,102.4097115058268,5.0,10.0,13.0,3072.0,32.0,8.0
22.606944444444444,102.2345778616391,5.0,10.0,13.0,3072.0,32.0,8.0
25.36555555555556,102.0551285198241,5.0,10.0,13.0,3072.0,32.0,8.0
28.460555555555555,101.8698878807155,5.0,10.0,13.0,3072.0,32.0,8.0
31.933333333333334,101.6780830206258,5.0,10.0,13.0,3072.0,32.0,8.0
35.82972222222222,101.478675804627,5.0,10.0,13.0,3072.0,32.0,8.0
40.201388888888886,101.2702304647965,5.0,10.0,13.0,3072.0,32.0,8.0
45.10694444444445,101.0521269009038,5.0,10.0,13.0,3072.0,32.0,8.0
50.61083333333333,100.8230642192264,5.0,10.0,13.0,3072.0,32.0,8.0
56.78611111111111,100.5821256505297,5.0,10.0,13.0,3072.0,32.0,8.0
63.715,100.3287998205115,5.0,10.0,13.0,3072.0,32.0,8.0
71.48944444444444,100.0617421475824,5.0,10.0,13.0,3072.0,32.0,8.0
80.2125,99.78066171872644,5.0,10.0,13.0,3072.0,32.0,8.0
90.0,99.48472680504663,5.0,10.0,13.0,3072.0,32.0,8.0
100.98166666666668,99.1720455396696,5.0,10.0,13.0,3072.0,32.0,8.0
113.30333333333331,98.84240523977051,5.0,10.0,13.0,3072.0,32.0,8.0
127.12833333333332,98.4944675597476,5.0,10.0,13.0,3072.0,32.0,8.0
142.64027777777778,98.1263373217895,5.0,10.0,13.0,3072.0,32.0,8.0
160.04527777777778,97.73761517970232,5.0,10.0,13.0,3072.0,32.0,8.0
179.57361111111112,97.32621411267898,5.0,10.0,13.0,3072.0,32.0,8.0
201.485,96.89073225523224,5.0,10.0,13.0,3072.0,32.0,8.0
226.06972222222225,96.43061801405102,5.0,10.0,13.0,3072.0,32.0,8.0
253.65444444444444,95.94325363061228,5.0,10.0,13.0,3072.0,32.0,8.0
284.605,95.42807597363648,5.0,10.0,13.0,3072.0,32.0,8.0
319.33194444444445,94.88428001066004,5.0,10.0,13.0,3072.0,32.0,8.0
358.2963888888889,94.30883302129055,5.0,10.0,13.0,3072.0,32.0,8.0
402.0152777777778,93.70213392231597,5.0,10.0,13.0,3072.0,32.0,8.0
451.0686111111111,93.0627842056863,5.0,10.0,13.0,3072.0,32.0,8.0
506.1072222222222,92.38801409432357,5.0,10.0,13.0,3072.0,32.0,8.0
567.8616666666667,91.67847854740452,5.0,10.0,13.0,3072.0,32.0,8.0
637.1511111111112,90.9320864687118,5.0,10.0,13.0,3072.0,32.0,8.0
714.8952777777778,90.14700718387014,5.0,10.0,13.0,3072.0,32.0,8.0
802.1258333333334,89.32359207352364,5.0,10.0,13.0,3072.0,32.0,8.0
900.0,88.45912919895648,5.0,10.0,13.0,3072.0,32.0,8.0
1009.8166666666668,87.5529461137484,5.0,10.0,13.0,3072.0,32.0,8.0
1133.0327777777777,86.60505616178321,5.0,10.0,13.0,3072.0,32.0,8.0
1271.283888888889,85.61210527118746,5.0,10.0,13.0,3072.0,32.0,8.0
1426.4038888888888,84.57489510546971,5.0,10.0,13.0,3072.0,32.0,8.0
1600.451388888889,83.49300014604766,5.0,10.0,13.0,3072.0,32.0,8.0
1795.736111111111,82.36286742517001,5.0,10.0,13.0,3072.0,32.0,8.0
2014.848888888889,81.18675929869022,5.0,10.0,13.0,3072.0,32.0,8.0
2260.697777777778,79.96343841413444,5.0,10.0,13.0,3072.0,32.0,8.0
2536.5447222222224,78.69112230358391,5.0,10.0,13.0,3072.0,32.0,8.0
2846.05,77.37204289724346,5.0,10.0,13.0,3072.0,32.0,8.0
3193.3205555555555,76.00489848971752,5.0,10.0,13.0,3072.0,32.0,8.0
3582.9644444444443,74.58996381041494,5.0,10.0,13.0,3072.0,32.0,8.0
4020.152222222222,73.12948147383707,5.0,10.0,13.0,3072.0,32.0,8.0
4510.685,71.62229235603893,5.0,10.0,13.0,3072.0,32.0,8.0
5010.685,70.20726669494495,5.0,10.0,13.0,3072.0,32.0,8.0
5510.685,68.89603325602725,5.0,10.0,13.0,3072.0,32.0,8.0
6010.685,67.67403609131911,5.0,10.0,13.0,3072.0,32.0,8.0
6510.685,66.52861376202662,5.0,10.0,13.0,3072.0,32.0,8.0
7010.685,65.45108816070658,5.0,10.0,13.0,3072.0,32.0,8.0
7510.685,64.43364737079528,5.0,10.0,13.0,3072.0,32.0,8.0
8010.685,63.47036652761926,5.0,10.0,13.0,3072.0,32.0,8.0
8510.685,62.55397855120067,5.0,10.0,13.0,3072.0,32.0,8.0
9010.685,61.68140187862406,5.0,10.0,13.0,3072.0,32.0,8.0
9510.685,60.84839652885567,5.0,10.0,13.0,3072.0,32.0,8.0
10010.685,60.05137549705098,5.0,10.0,13.0,3072.0,32.0,8.0
10510.685,59.28727247762438,5.0,10.0,13.0,3072.0,32.0,8.0
11010.685,58.5534414935936,5.0,10.0,13.0,3072.0,32.0,8.0
11510.685,57.84757928494877,5.0,10.0,13.0,3072.0,32.0,8.0
12010.685,57.1676648710805,5.0,10.0,13.0,3072.0,32.0,8.0
12510.685,56.51191176722413,5.0,10.0,13.0,3072.0,32.0,8.0
13010.685,55.87854202831939,5.0,10.0,13.0,3072.0,32.0,8.0
13510.685,55.2654226967914,5.0,10.0,13.0,3072.0,32.0,8.0
14010.685,54.6721028330017,5.0,10.0,13.0,3072.0,32.0,8.0
14510.685,54.09743933656878,5.0,10.0,13.0,3072.0,32.0,8.0
15010.685,53.53990762351933,5.0,10.0,13.0,3072.0,32.0,8.0
15510.685,52.9981026778316,5.0,10.0,13.0,3072.0,32.0,8.0
16010.685,52.47208478535969,5.0,10.0,13.0,3072.0,32.0,8.0
16510.685,51.96040190681993,5.0,10.0,13.0,3072.0,32.0,8.0
17010.685,51.46205842757594,5.0,10.0,13.0,3072.0,32.0,8.0
17510.685,50.9773121221393,5.0,10.0,13.0,3072.0,32.0,8.0
18010.685,50.5040568699676,5.0,10.0,13.0,3072.0,32.0,8.0
18510.685,50.0430174619399,5.0,10.0,13.0,3072.0,32.0,8.0
19010.685,49.59283440344454,5.0,10.0,13.0,3072.0,32.0,8.0
19510.685,49.15332131773042,5.0,10.0,13.0,3072.0,32.0,8.0
20010.685,48.7239440926038,5.0,10.0,13.0,3072.0,32.0,8.0
20510.685,48.30409104158441,5.0,10.0,13.0,3072.0,32.0,8.0
21010.685,47.89357941904667,5.0,10.0,13.0,3072.0,32.0,8.0
21510.685,47.49177341317133,5.0,10.0,13.0,3072.0,32.0,8.0
22010.685,47.09845341896502,5.0,10.0,13.0,3072.0,32.0,8.0
22510.685,46.71328801511902,5.0,10.0,13.0,3072.0,32.0,8.0
23010.685,46.3357050701558,5.0,10.0,13.0,3072.0,32.0,8.0
23510.685,45.96594390802695,5.0,10.0,13.0,3072.0,32.0,8.0
24010.685,45.60282576017838,5.0,10.0,13.0,3072.0,32.0,8.0
24510.685,45.24719182237926,5.0,10.0,13.0,3072.0,32.0,8.0
25010.685,44.89760122966998,5.0,10.0,13.0,3072.0,32.0,8.0
25510.685,44.55475225572945,5.0,10.0,13.0,3072.0,32.0,8.0
26010.685,44.21806506267346,5.0,10.0,13.0,3072.0,32.0,8.0
26510.685,43.88707233510792,5.0,10.0,13.0,3072.0,32.0,8.0
27010.685,43.56226428049055,5.0,10.0,13.0,3072.0,32.0,8.0
27510.685,43.24249685804425,5.0,10.0,13.0,3072.0,32.0,8.0
28010.685,42.9282957844048,5.0,10.0,13.0,3072.0,32.0,8.0
28510.685,42.61953608181397,5.0,10.0,13.0,3072.0,32.0,8.0
29010.685,42.31524293487988,5.0,10.0,13.0,3072.0,32.0,8.0
29510.685,42.01614973600023,5.0,10.0,13.0,3072.0,32.0,8.0
30010.685,41.7218280991161,5.0,10.0,13.0,3072.0,32.0,8.0
30510.685,41.43168772302371,5.0,10.0,13.0,3072.0,32.0,8.0
31010.685,41.14626364726265,5.0,10.0,13.0,3072.0,32.0,8.0
31510.685,40.8651614914279,5.0,10.0,13.0,3072.0,32.0,8.0
32010.685,40.58786926112059,5.0,10.0,13.0,3072.0,32.0,8.0
32510.685,40.31487488466907,5.0,10.0,13.0,3072.0,32.0,8.0
33010.685,40.04593211953018,5.0,10.0,13.0,3072.0,32.0,8.0
33510.685,39.78035847734524,5.0,10.0,13.0,3072.0,32.0,8.0
34010.685,39.51871815913313,5.0,10.0,13.0,3072.0,32.0,8.0
34510.685,39.26089635292965,5.0,10.0,13.0,3072.0,32.0,8.0
35010.685,39.00616534579699,5.0,10.0,13.0,3072.0,32.0,8.0
35510.685,38.7549391956361,5.0,10.0,13.0,3072.0,32.0,8.0
36010.685,38.50722576332814,5.0,10.0,13.0,3072.0,32.0,8.0
36510.685,38.2626651387455,5.0,10.0,13.0,3072.0,32.0,8.0
37010.685,38.02102670547457,5.0,10.0,13.0,3072.0,32.0,8.0
37510.685,37.78263090896854,5.0,10.0,13.0,3072.0,32.0,8.0
38010.685,37.5473918720559,5.0,10.0,13.0,3072.0,32.0,8.0
38510.685,37.3147583034917,5.0,10.0,13.0,3072.0,32.0,8.0
39010.685,37.08497950648446,5.0,10.0,13.0,3072.0,32.0,8.0
39510.685,36.85812711088866,5.0,10.0,13.0,3072.0,32.0,8.0
40010.685,36.63412751338013,5.0,10.0,13.0,3072.0,32.0,8.0
40510.685,36.41237127666206,5.0,10.0,13.0,3072.0,32.0,8.0
41010.685,36.19330601355376,5.0,10.0,13.0,3072.0,32.0,8.0
41510.685,35.97689546469898,5.0,10.0,13.0,3072.0,32.0,8.0
42010.685,35.76307605809087,5.0,10.0,13.0,3072.0,32.0,8.0
42510.685,35.55128978562856,5.0,10.0,13.0,3072.0,32.0,8.0
43010.685,35.34195091726225,5.0,10.0,13.0,3072.0,32.0,8.0
43510.685,35.13503160785534,5.0,10.0,13.0,3072.0,32.0,8.0
44010.685,34.93047656488113,5.0,10.0,13.0,3072.0,32.0,8.0
44510.685,34.72787026260133,5.0,10.0,13.0,3072.0,32.0,8.0
45010.685,34.52740107552187,5.0,10.0,13.0,3072.0,32.0,8.0
45510.685,34.32914653993309,5.0,10.0,13.0,3072.0,32.0,8.0
46010.685,34.13305825799473,5.0,10.0,13.0,3072.0,32.0,8.0
46510.685,33.93894028014305,5.0,10.0,13.0,3072.0,32.0,8.0
47010.685,33.74659206136516,5.0,10.0,13.0,3072.0,32.0,8.0
47510.685,33.55627885145174,5.0,10.0,13.0,3072.0,32.0,8.0
48010.685,33.36795804077081,5.0,10.0,13.0,3072.0,32.0,8.0
48510.685,33.18158834409692,5.0,10.0,13.0,3072.0,32.0,8.0
49010.685,32.99564730446512,5.0,10.0,13.0,3072.0,32.0,8.0
49510.685,32.81093645748958,5.0,10.0,13.0,3072.0,32.0,8.0
49755.3425,32.72123328785752,5.0,10.0,13.0,3072.0,32.0,8.0
50000.0,32.63197012747778,5.0,10.0,13.0,3072.0,32.0,8.0
