,t,P,Q
,0,300,100
,0.1,297.894106130855,100
,0.2,297.805492545936,100
,0.3,297.736585277452,100
,0.4,297.679131603342,100
,0.5,297.629057587383,100
,0.6,297.584214248081,100
,0.7,297.543310780787,100
,0.8,297.505520191089,100
,0.9,,100
,1.00972222222222,,100
,1.13305555555556,,100
,1.27138888888889,,100
,1.42638888888889,297.313311989573,100
,1.60055555555556,297.268962830096,100
,1.79583333333333,297.22224135594,100
,2.01472222222222,297.173111942446,100
,2.26083333333333,297.12146863749,100
,2.53666666666667,297.067278770213,100
,2.84611111111111,297.010245979267,100
,3.19333333333333,,100
,3.58305555555556,296.88693734842,100
,4.02027777777778,296.819928754785,100
,4.51055555555556,296.748913604646,100
,5.06111111111111,296.673403089717,100
,5.67861111111111,296.592476192929,
,6.37138888888889,296.505695930609,100
,7.14888888888889,296.412007834515,100
,8.02138888888889,296.310264211216,100
,9,296.199245877153,100
,10.0980555555556,296.078558610432,100
,11.3302777777778,,100
,12.7127777777778,,100
,14.2641666666667,,100
,16.0044444444444,,100
,17.9572222222222,,100
,20.1486111111111,,
,22.6069444444444,,100
,25.3655555555556,,100
,28.4605555555556,,100
,31.9333333333333,294.044970806427,100
,35.8297222222222,293.729970119854,100
,40.2013888888889,293.388653438431,100
,45.1069444444445,293.020538190518,100
,50.6108333333333,292.623001243295,100
,56.7861111111111,292.194928246056,100
,63.715,291.73556995671,100
,71.4894444444444,,100
,80.2125,290.712837051421,100
,90,290.148114888724,100
,100.981666666667,289.543715565177,100
,113.303333333333,288.900486427122,100
,127.128333333333,288.216318840448,100
,142.640277777778,287.488642350382,100
,160.045277777778,286.718185532727,100
,179.573611111111,285.902374223585,
,201.485,285.040119642806,100
,226.069722222222,284.132029518654,100
,253.654444444444,283.175126593094,100
,284.605,282.170112811839,100
,319.331944444444,,100
,358.296388888889,280.013754649097,100
,402.015277777778,278.861752301546,100
,451.068611111111,277.661129776469,100
,506.107222222222,276.40990480521,100
,567.861666666667,275.111103568919,100
,637.151111111111,273.764059945856,100
,714.895277777778,272.368725362183,100
,802.125833333333,270.927844619005,100
,900,269.440646906699,100
,1009.81666666667,267.908889376803,100
,1133.03277777778,266.334990028107,100
,1271.28388888889,264.718165534417,100
,1426.40388888889,263.061680247643,
,1600.45138888889,261.367496940924,100
,1795.73611111111,259.635148716883,100
,2014.84888888889,257.868714046109,100
,2260.69777777778,256.069415011374,100
,2536.54472222222,254.238160819568,100
,2846.05,252.378300950689,100
,3193.32055555556,250.49080344127,100
,3582.96444444444,248.577472631541,
,4020.15222222222,246.640923112136,
,4510.685,244.681874583087,
,5010.685,242.875347707312,
,5510.685,241.227313764894,
,6010.685,239.712143731461,
,6510.685,238.309560949237,100
,7010.685,237.004180018027,100
,7510.685,235.783345318184,100
,8010.685,234.636948939931,100
,8510.685,233.55579867332,100
,9010.685,232.53333554536,100
,9510.685,231.563437764314,100
,10010.685,230.640916320018,100
,10510.685,229.761333507339,100
,11010.685,228.920862023336,100
,11510.685,228.116175808438,100
,12010.685,227.344364580637,100
,12510.685,226.602866116332,100
,13010.685,225.889351717067,100
,13510.685,225.201578855281,100
,14010.685,224.538012078161,100
,14510.685,223.897035136898,100
,15010.685,223.27703911785,100
,15510.685,222.676568050675,100
,16010.685,222.094715202065,100
,16510.685,221.530188258259,100
,17010.685,220.981915673812,100
,17510.685,220.449271122476,100
,18010.685,219.93097032291,100
,18510.685,219.426639833345,100
,19010.685,218.935322418071,100
,19510.685,218.456458499921,100
,20010.685,217.989419522758,100
,20510.685,217.533591732619,100
,21010.685,217.088516252213,100
,21510.685,216.653632593732,100
,22010.685,216.228524852344,100
,22510.685,215.812770535257,100
,23010.685,215.405897136113,100
,23510.685,215.007686550153,100
,24010.685,,100
,24510.685,,100
,25010.685,,100
,25510.685,,100
,26010.685,,100
,26510.685,,100
,27010.685,,100
,27510.685,,100
,28010.685,,100
,28510.685,,100
,29010.685,,100
,29510.685,210.785970442054,100
,30010.685,210.473279800862,100
,30510.685,210.165580207604,100
,31010.685,209.8628823439,100
,31510.685,209.564965208361,100
,32010.685,209.271584113164,
,32510.685,208.982750239033,
,33010.685,208.698296815535,100
,33510.685,208.41795586783,100
,34010.685,208.141766957808,100
,34510.685,207.869608889351,100
,35010.685,207.601220573172,100
,35510.685,207.336612937622,100
,36010.685,207.075705123785,100
,36510.685,206.818335456005,100
,37010.685,206.564374840783,100
,37510.685,206.313822218307,100
,38010.685,206.06658733216,100
,38510.685,205.822480906226,100
,39010.685,205.58149147329,100
,39510.685,205.343571217432,100
,40010.685,205.108642944308,100
,40510.685,204.876518345482,100
,41010.685,204.647235021461,100
,41510.685,204.420730237953,100
,42010.685,204.196937457703,100
,42510.685,203.975690228495,100
,43010.685,203.757024113697,100
,43510.685,203.540885363078,100
,44010.685,203.327216220513,100
,44510.685,203.115887501011,100
,45010.685,202.906893915963,100
,45510.685,202.700209154338,100
,46010.685,202.495782760311,100
,46510.685,202.293535725916,100
,47010.685,202.093389374877,100
,47510.685,201.89536053551,100
,48010.685,201.699404870716,100
,48510.685,201.505479421494,100
,49010.685,201.312143557393,100
,49510.685,201.120149937626,100
,49755.3425,201.02690995457,100
,50000,200.934127329435,100
