,t,P
,0,300
,0.1,297.894106130855
,0.2,297.805492545936
,0.3,297.736585277452
,0.4,297.679131603342
,0.5,297.629057587383
,0.6,297.584214248081
,0.7,297.543310780787
,0.8,297.505520191089
,0.9,297.470267214958
,1.00972222222222,297.433920619773
,1.13305555555556,297.395672770382
,1.27138888888889,297.355534373413
,1.42638888888889,297.313311989573
,1.60055555555556,297.268962830096
,1.79583333333333,297.22224135594
,2.01472222222222,297.173111942446
,2.26083333333333,297.12146863749
,2.53666666666667,297.067278770213
,2.84611111111111,297.010245979267
,3.19333333333333,296.950196438101
,3.58305555555556,296.88693734842
,4.02027777777778,296.819928754785
,4.51055555555556,296.748913604646
,5.06111111111111,296.673403089717
,5.67861111111111,296.592476192929
,6.37138888888889,296.505695930609
,7.14888888888889,296.412007834515
,8.02138888888889,296.310264211216
,9,296.199245877153
,10.0980555555556,296.078558610432
,11.3302777777778,295.946633930002
,12.7127777777778,295.802523677226
,14.2641666666667,295.644336522552
,16.0044444444444,295.471217590495
,17.9572222222222,295.282207997485
,20.1486111111111,295.074909068794
,22.6069444444444,294.849185165812
,25.3655555555556,294.603443259531
,28.4605555555556,294.335452099307
,31.9333333333333,294.044970806427
,35.8297222222222,293.729970119854
,40.2013888888889,293.388653438431
,45.1069444444445,293.020538190518
,50.6108333333333,292.623001243295
,56.7861111111111,292.194928246056
,63.715,291.73556995671
,71.4894444444444,291.241571672153
,80.2125,290.712837051421
,90,290.148114888724
,100.981666666667,289.543715565177
,113.303333333333,288.900486427122
,127.128333333333,288.216318840448
,142.640277777778,287.488642350382
,160.045277777778,286.718185532727
,179.573611111111,285.902374223585
,201.485,285.040119642806
,226.069722222222,284.132029518654
,253.654444444444,283.175126593094
,284.605,282.170112811839
,319.331944444444,281.117415905992
,358.296388888889,280.013754649097
,402.015277777778,278.861752301546
,451.068611111111,277.661129776469
,506.107222222222,276.40990480521
,567.861666666667,275.111103568919
,637.151111111111,273.764059945856
,714.895277777778,272.368725362183
,802.125833333333,270.927844619005
,900,269.440646906699
,1009.81666666667,267.908889376803
,1133.03277777778,266.334990028107
,1271.28388888889,264.718165534417
,1426.40388888889,263.061680247643
,1600.45138888889,261.367496940924
,1795.73611111111,259.635148716883
,2014.84888888889,257.868714046109
,2260.69777777778,256.069415011374
,2536.54472222222,254.238160819568
,2846.05,252.378300950689
,3193.32055555556,250.49080344127
,3582.96444444444,248.577472631541
,4020.15222222222,246.640923112136
,4510.685,244.681874583087
,5010.685,242.875347707312
,5510.685,241.227313764894
,6010.685,239.712143731461
,6510.685,238.309560949237
,7010.685,237.004180018027
,7510.685,235.783345318184
,8010.685,234.636948939931
,8510.685,233.55579867332
,9010.685,232.53333554536
,9510.685,231.563437764314
,10010.685,230.640916320018
,10510.685,229.761333507339
,11010.685,228.920862023336
,11510.685,228.116175808438
,12010.685,227.344364580637
,12510.685,226.602866116332
,13010.685,225.889351717067
,13510.685,225.201578855281
,14010.685,224.538012078161
,14510.685,223.897035136898
,15010.685,223.27703911785
,15510.685,222.676568050675
,16010.685,222.094715202065
,16510.685,221.530188258259
,17010.685,220.981915673812
,17510.685,220.449271122476
,18010.685,219.93097032291
,18510.685,219.426639833345
,19010.685,218.935322418071
,19510.685,218.456458499921
,20010.685,217.989419522758
,20510.685,217.533591732619
,21010.685,217.088516252213
,21510.685,216.653632593732
,22010.685,216.228524852344
,22510.685,215.812770535257
,23010.685,215.405897136113
,23510.685,215.007686550153
,24010.685,214.617532931771
,24510.685,214.235420750173
,25010.685,213.860706623578
,25510.685,213.493359984807
,26010.685,213.133008110629
,26510.685,212.779320609523
,27010.685,212.432241838272
,27510.685,212.091281715979
,28010.685,211.756410792054
,28510.685,211.427433715781
,29010.685,211.103938032527
,29510.685,210.785970442054
,30010.685,210.473279800862
,30510.685,210.165580207604
,31010.685,209.8628823439
,31510.685,209.564965208361
,32010.685,209.271584113164
,32510.685,208.982750239033
,33010.685,208.698296815535
,33510.685,208.41795586783
,34010.685,208.141766957808
,34510.685,207.869608889351
,35010.685,207.601220573172
,35510.685,207.336612937622
,36010.685,207.075705123785
,36510.685,206.818335456005
,37010.685,206.564374840783
,37510.685,206.313822218307
,38010.685,206.06658733216
,38510.685,205.822480906226
,39010.685,205.58149147329
,39510.685,205.343571217432
,40010.685,205.108642944308
,40510.685,204.876518345482
,41010.685,204.647235021461
,41510.685,204.420730237953
,42010.685,204.196937457703
,42510.685,203.975690228495
,43010.685,203.757024113697
,43510.685,203.540885363078
,44010.685,203.327216220513
,44510.685,203.115887501011
,45010.685,202.906893915963
,45510.685,202.700209154338
,46010.685,202.495782760311
,46510.685,202.293535725916
,47010.685,202.093389374877
,47510.685,201.89536053551
,48010.685,201.699404870716
,48510.685,201.505479421494
,49010.685,201.312143557393
,49510.685,201.120149937626
,49755.3425,201.02690995457
,50000,200.934127329435
