,t,P,Q
,0,304.470427377101,100
,0.1,296.658462518639,100
,0.2,303.592048669099,100
,0.3,311.340436539128,100
,0.4,295.588054405853,100
,0.5,295.538478732088,100
,0.6,311.682678393079,100
,0.7,304.393662884396,100
,0.8,293.31538354897,100
,0.9,,100
,1.00972222222222,,100
,1.13305555555556,,100
,1.27138888888889,,100
,1.42638888888889,302.152621694926,100
,1.60055555555556,293.136171923112,100
,1.79583333333333,293.069484119271,100
,2.01472222222222,299.330252378864,100
,2.26083333333333,280.067169551255,100
,2.53666666666667,281.694779372007,100
,2.84611111111111,292.000091258139,100
,3.19333333333333,,100
,3.58305555555556,287.866047467402,100
,4.02027777777778,299.618174880954,100
,4.51055555555556,288.665258866513,100
,5.06111111111111,284.103614731577,100
,5.67861111111111,309.633488121036,
,6.37138888888889,294.497377157597,100
,7.14888888888889,297.012492956625,100
,8.02138888888889,283.645238866475,100
,9,291.361873302966,100
,10.0980555555556,297.063812624791,100
,11.3302777777778,,100
,12.7127777777778,,100
,14.2641666666667,,100
,16.0044444444444,,100
,17.9572222222222,,100
,20.1486111111111,,
,22.6069444444444,,100
,25.3655555555556,,100
,28.4605555555556,,100
,31.9333333333333,283.891654620281,100
,35.8297222222222,297.040583150937,100
,40.2013888888889,288.102036145282,100
,45.1069444444445,290.456370403981,100
,50.6108333333333,287.34080540114,100
,56.7861111111111,308.431716982486,100
,63.715,291.617441340157,100
,71.4894444444444,,100
,80.2125,281.488132703309,100
,90,297.307910558466,100
,100.981666666667,278.939087369074,100
,113.303333333333,290.710710252936,100
,127.128333333333,271.272051563061,100
,142.640277777778,276.033490230786,100
,160.045277777778,288.411496423231,100
,179.573611111111,292.236254678749,
,201.485,286.505524704007,100
,226.069722222222,283.146248083095,100
,253.654444444444,280.61717427961,100
,284.605,269.654271307336,100
,319.331944444444,,100
,358.296388888889,273.966766262447,100
,402.015277777778,275.00811625611,100
,451.068611111111,286.466782325782,100
,506.107222222222,279.259289766478,100
,567.861666666667,260.560145885574,100
,637.151111111111,276.425736242603,100
,714.895277777778,269.222194265886,100
,802.125833333333,265.425934063463,100
,900,274.384960555582,100
,1009.81666666667,276.1953074874,100
,1133.03277777778,273.775964465253,100
,1271.28388888889,258.053481837462,100
,1426.40388888889,260.621422433299,
,1600.45138888889,263.964941757744,100
,1795.73611111111,267.233722841696,100
,2014.84888888889,254.161792710593,100
,2260.69777777778,254.643167444997,100
,2536.54472222222,245.799983748318,100
,2846.05,243.321403089546,100
,3193.32055555556,256.596710823319,100
,3582.96444444444,258.691394189057,
,4020.15222222222,246.108103826336,
,4510.685,252.048263902948,
,5010.685,245.51032196712,
,5510.685,236.558698601092,
,6010.685,242.311071191408,
,6510.685,249.305425515588,100
,7010.685,236.749452387351,100
,7510.685,246.850852780145,100
,8010.685,216.196278993213,100
,8510.685,239.314601548549,100
,9010.685,233.140575899166,100
,9510.685,229.486262664594,100
,10010.685,231.27583000749,100
,10510.685,216.061338979646,100
,11010.685,227.412237685554,100
,11510.685,230.560070432829,100
,12010.685,237.424091056215,100
,12510.685,223.079620609826,100
,13010.685,220.410448842319,100
,13510.685,221.811684502771,100
,14010.685,230.70428923099,100
,14510.685,226.105227099421,100
,15010.685,219.728540425663,100
,15510.685,226.105346965611,100
,16010.685,222.741527522314,100
,16510.685,227.967711471504,100
,17010.685,216.32768454612,100
,17510.685,218.282284680719,100
,18010.685,217.343868525214,100
,18510.685,209.79261481091,100
,19010.685,220.880258068081,100
,19510.685,220.167334806916,100
,20010.685,218.022859906115,100
,20510.685,216.002674281698,100
,21010.685,207.870694222057,100
,21510.685,213.919602477412,100
,22010.685,214.005385221722,100
,22510.685,210.618520129012,100
,23010.685,214.363640333613,100
,23510.685,217.613907749322,100
,24010.685,,100
,24510.685,,100
,25010.685,,100
,25510.685,,100
,26010.685,,100
,26510.685,,100
,27010.685,,100
,27510.685,,100
,28010.685,,100
,28510.685,,100
,29010.685,,100
,29510.685,222.713416210677,100
,30010.685,211.575598746277,100
,30510.685,211.789427026572,100
,31010.685,209.394179310057,100
,31510.685,197.501748519053,100
,32010.685,209.105126091677,
,32510.685,209.360362486662,
,33010.685,224.120529821134,100
,33510.685,207.215211495777,100
,34010.685,210.02470485745,100
,34510.685,207.653143229576,100
,35010.685,200.322650961166,100
,35510.685,214.445083284104,100
,36010.685,211.746917012269,100
,36510.685,211.726332773404,100
,37010.685,200.928963308151,100
,37510.685,214.996297900567,100
,38010.685,197.400347398433,100
,38510.685,209.446132395728,100
,39010.685,219.091005510092,100
,39510.685,199.241563224744,100
,40010.685,201.62406617967,100
,40510.685,205.489005087308,100
,41010.685,201.556188005996,100
,41510.685,194.911097709998,100
,42010.685,204.616947942054,100
,42510.685,197.475166231308,100
,43010.685,206.651957642967,100
,43510.685,197.926672683271,100
,44010.685,212.781531657411,100
,44510.685,198.343151872682,100
,45010.685,200.946438858868,100
,45510.685,207.647212457683,100
,46010.685,195.01843776347,100
,46510.685,203.673945958128,100
,47010.685,210.018336663169,100
,47510.685,192.159058319614,100
,48010.685,202.816621052264,100
,48510.685,203.076513632947,100
,49010.685,206.033856703384,100
,49510.685,193.656878564508,100
,49755.3425,193.063490574848,100
,50000,204.080403519561,100
